Year,Base_Coeff,Base_Mean_Income,Base_Abs_Income_Gain,Base_PC_Income_Gain,M1_Coeff,M1_Mean_Income,M1_Abs_Income_Gain,M1_PC_Income_Gain,M2_Coeff,M2_Mean_Income,M2_Abs_Income_Gain,M2_PC_Income_Gain,M3_Coeff,M3_Mean_Income,M3_Abs_Income_Gain,M3_PC_Income_Gain,M4_Coeff,M4_Mean_Income,M4_Abs_Income_Gain,M4_PC_Income_Gain,M5_Coeff,M5_Mean_Income,M5_Abs_Income_Gain,M5_PC_Income_Gain,M6_Coeff,M6_Mean_Income,M6_Abs_Income_Gain,M6_PC_Income_Gain
1970,-0.044797670119901024,1186.8730947711808,226.24955360367562,0.19062657549524673,-0.03835745426051332,1186.8730947711808,191.2442123090584,0.16113282300491333,-0.016540867578539956,1186.8730947711808,78.97991346296226,0.06654453101255019,-0.08052501995748529,1065.4218356923102,346.4758635278761,0.325200640648346,-0.04652190610569195,1186.8730947711808,235.77148704461547,0.19864928110959515,-0.05583874418844748,1186.8730947711808,288.3439136304157,0.24294418240730783,-0.07688539256361168,1065.4218356923102,328.6214457705878,0.30844256684212773
1971,-0.04469216834795981,1204.289290160014,228.9804739618262,0.190137432785275,-0.039243759906507754,1204.289290160014,198.8859679142122,0.16514800018506035,-0.01511283056983881,1204.289290160014,73.01474058540339,0.06062890468427393,-0.0755391988383979,1080.9366130981216,326.76504795977553,0.3022980663252948,-0.043619590928018044,1204.289290160014,223.00545547018328,0.1851759849500551,-0.05249815543842613,1204.289290160014,273.22544550702764,0.22687692047043295,-0.07112171039715288,1080.9366130981216,305.1884804843346,0.2823370739655307
1972,-0.04584858071934226,1218.3912403089591,238.20760927103606,0.19550994901328367,-0.04223883756255315,1218.3912403089591,217.87203818519538,0.1788194390908026,-0.01591133464075432,1218.3912403089591,77.89497174173425,0.06393264262305569,-0.08266469370411356,1095.225793826537,367.06757945211507,0.33515242383914456,-0.045068774292700904,1218.3912403089591,233.79030921840672,0.19188443045529635,-0.054249670293767406,1218.3912403089591,286.65715257535726,0.23527512599537967,-0.0787572197804121,1095.225793826537,347.22431070260245,0.31703445322398627
1973,-0.04962096245949166,1217.1610518332695,259.5048670220831,0.21320503694332052,-0.04538009459809268,1217.1610518332695,235.31437591352437,0.193330517402851,-0.017176609495584676,1217.1610518332695,84.21377537751209,0.06918868727410442,-0.08932337321476383,1096.0141140312612,401.80222420651967,0.36660314777210906,-0.04978916097301368,1217.1610518332695,260.4725567968694,0.21400007534298734,-0.05788664150371982,1217.1610518332695,307.817394195612,0.252897834458293,-0.08522909061973978,1096.0141140312612,380.5121348672933,0.34717813392724256
1974,-0.05145351513691819,1239.437081875826,275.0252146004909,0.22189526085846492,-0.0478894740054111,1239.437081875826,254.147649588097,0.20505086809526246,-0.01970919804882186,1239.437081875826,98.8914339410212,0.0797873771788028,-0.0938765037274136,1117.0754616225495,434.0220667474348,0.3885342411129672,-0.050004799780006166,1239.437081875826,266.50390519755956,0.2150201160628656,-0.05804189558038658,1239.437081875826,314.3902531589306,0.2536556778526561,-0.0907128637799969,1117.0754616225495,416.95839912171937,0.3732589367920483
1975,-0.05598783641360536,1220.2284137449071,297.3283688365168,0.24366615748932585,-0.050950558899177344,1220.2284137449071,267.8450083157154,0.21950399228427514,-0.026828882073136138,1220.2284137449071,134.40684420705998,0.11014892186829389,-0.09478594246999728,1094.7882411865987,430.2044082624518,0.39295673087990957,-0.05560215722938286,1220.2284137449071,295.0504697199324,0.24179937657279768,-0.06685906091103727,1220.2284137449071,362.96400772811376,0.29745579076803286,-0.0961927788079551,1094.7882411865987,437.7245501837076,0.39982576877997417
1976,-0.06041624170987538,1252.492891131169,332.28996558713743,0.2653028755213413,-0.055075525514385826,1252.492891131169,299.665030957025,0.23925487567948375,-0.033969885681787895,1252.492891131169,177.1763335882615,0.14145895345421683,-0.10353899521562197,1115.4977382372538,486.6343123434299,0.43624858721132453,-0.06424187952366912,1252.492891131169,356.08041603662195,0.2842973549454908,-0.07656713379699213,1252.492891131169,435.1832525688874,0.3474536707157344,-0.10540798182575493,1115.4977382372538,497.13869279118103,0.4456653525598142
1977,-0.06262566978952198,1255.048066104256,346.69228652472,0.2762382540462164,-0.0564355317504389,1255.048066104256,308.53678879861445,0.24583663138602416,-0.03450185814233927,1255.048066104256,180.50910502067995,0.1438264476841839,-0.09739424431954724,1109.8682671258885,450.29449992795867,0.40571887066745316,-0.060372976922350226,1255.048066104256,332.7002878332669,0.265089678091763,-0.07222731052272158,1255.048066104256,407.72644790343384,0.32486918940805276,-0.09686415484721238,1109.8682671258885,447.4053987059667,0.40311576784203984
1978,-0.06781242644882647,1261.5152843635733,381.33395086526593,0.30228246585030205,-0.06153257363965769,1261.5152843635733,341.6389077954527,0.27081630482805247,-0.03882299678785063,1261.5152843635733,205.92989901064993,0.1632401141414155,-0.10124372930038464,1106.5418594853872,470.02348380866806,0.42476791978503103,-0.06179884283716562,1261.5152843635733,343.30236229788784,0.2721349210375059,-0.07184468972895122,1261.5152843635733,407.3385904944405,0.3228962784227702,-0.09989081209429654,1106.5418594853872,462.58297811397347,0.41804381293727483
1979,-0.06919883760112709,1269.819251553806,392.79777761956075,0.3093336135350888,-0.06349534545372226,1269.819251553806,356.27130464381366,0.28056851729713866,-0.03895978692983309,1269.819251553806,208.0726145004205,0.16386002515382708,-0.10037787613343353,1100.494896202918,462.71507072271083,0.420460896565023,-0.059679832639338286,1269.819251553806,332.2849559978538,0.2616789402044862,-0.07085283521787383,1269.819251553806,403.54301994179036,0.31779563859029353,-0.10229663576896793,1100.494896202918,473.2381215115613,0.43002300432686597
